교재,레벨,구간,Chapter,영어,뜻
V-map,Basic,A1,3,I agree with you.,당신 말에 동의해
V-map,Basic,A1,3,invention ,발명 
V-map,Basic,A1,3,inventor ,발명가 
V-map,Basic,A1,3,line up ,줄을 서다
V-map,Basic,A1,3,movement ,움직임 
V-map,Basic,A1,3,nervous system,신경계
V-map,Basic,A1,3,on average ,"평균적으로, 대체로"
V-map,Basic,A1,3,opportunity ,기회 
V-map,Basic,A1,3,ordinary ,"평범한, 보통의"
V-map,Basic,A1,3,power ,"동력, 에너지"
V-map,Basic,A1,3,replace A with B,A를 B로 바꾸다
V-map,Basic,A1,3,reservation ,예약 
V-map,Basic,A1,3,sensor ,"센서, 감지기 "
V-map,Basic,A1,3,Should I ~?,내가 ~해야 하니?
V-map,Basic,A1,3,signal ,신호 
V-map,Basic,A1,3,solution ,해결책 
V-map,Basic,A1,3,succeed ,성공하다 
V-map,Basic,A1,3,suddenly ,갑자기 
V-map,Basic,A1,3,take A for granted ,A를 당연한 일로 여기다 
V-map,Basic,A1,3,task ,일
V-map,Basic,A1,3,technology ,기술
V-map,Basic,A1,3,though ,하지만  
V-map,Basic,A1,3,track ,기차선로
V-map,Basic,A1,3,transportation ,운송수단 
V-map,Basic,A1,3,what if ,~라면 어떻겠는가?
V-map,Basic,A1,4,access ,"접근하다, 이용하다"
V-map,Basic,A1,4,achieve ,달성하다 
V-map,Basic,A1,4,average,보통의
V-map,Basic,A1,4,be aware of + 명사(구),~을 알다
V-map,Basic,A1,4,beat ,(심장이) 뛰다
V-map,Basic,A1,4,behavior ,행동 
V-map,Basic,A1,4,benefit ,"혜택, 이득"
V-map,Basic,A1,4,break,(학교의) 쉬는 시간
V-map,Basic,A1,4,certainly,"분명히, 틀림없이"
V-map,Basic,A1,4,common ,흔한
V-map,Basic,A1,4,counting ,계산
V-map,Basic,A1,4,encourage ,장려하다 
V-map,Basic,A1,4,feature ,"특징, 기능 "
V-map,Basic,A1,4,fit ,(운동으로 몸이) 건강한 
V-map,Basic,A1,4,fixed ,고정된
V-map,Basic,A1,4,harmless ,무해한
V-map,Basic,A1,4,healthy ,건강한 
V-map,Basic,A1,4,heart disease,심장병
V-map,Basic,A1,4,It means,~을 뜻한다
V-map,Basic,A1,4,jump rope,줄넘기 
V-map,Basic,A1,4,lead a life,삶을 살다
V-map,Basic,A1,4,librarian ,도서관 사서
V-map,Basic,A1,4,medical bill,병원비 
V-map,Basic,A1,4,mysterious ,신비한
V-map,Basic,A1,4,offer ,제공하다 
V-map,Basic,A1,4,on a regular basis ,정기적으로
V-map,Basic,A1,4,oxygen ,산소
V-map,Basic,A1,4,participate ,참여하다 
V-map,Basic,A1,4,post ,"게시하다, 공고하다"
V-map,Basic,A1,4,prevent ,"예방하다, 방지하다"
V-map,Basic,A1,4,provide A with B,A에게 B를 제공하다
V-map,Basic,A1,4,raise ,모으다 
V-map,Basic,A1,4,reach ,"~에 이르다, 달성하다"
V-map,Basic,A1,4,recipe ,조리법 
V-map,Basic,A1,4,recommend ,"권장하다, 추천하다"
V-map,Basic,A1,4,regular ,규칙적인 
V-map,Basic,A1,4,researcher ,연구원
V-map,Basic,A1,4,review ,후기
V-map,Basic,A1,4,share ,공유하다 
V-map,Basic,A1,4,signal ,신호 
V-map,Basic,A1,4,solution ,해결책 
V-map,Basic,A1,4,solve ,해결하다
V-map,Basic,A1,4,specifically,구체적으로 
V-map,Basic,A1,4,support ,후원하다
V-map,Basic,A1,4,temperature ,온도 
V-map,Basic,A1,4,track ,추적하다 
V-map,Basic,A1,4,vinegar ,식초
V-map,Basic,A1,4,weight ,체중 
V-map,Basic,A1,4,What do you think about ~?,~에 대해 어떻게 생각하니?
V-map,Basic,A1,4,yawn ,하품하다 
V-map,Basic,A1,5,accept ,받아들이다 
V-map,Basic,A1,5,at the age of ,~의 나이에 
V-map,Basic,A1,5,attack ,공격 
V-map,Basic,A1,5,be born in ,~에서 태어나다 
V-map,Basic,A1,5,be composed of ,~으로 구성되어 있다 
V-map,Basic,A1,5,be surrounded by ,~에 둘러싸이다 
V-map,Basic,A1,5,biologist ,생물학자 
V-map,Basic,A1,5,chance ,가능성 
V-map,Basic,A1,5,childhood ,어린 시절 
V-map,Basic,A1,5,collection ,모음집 
V-map,Basic,A1,5,compare A to B ,A를 B에 비유하다
V-map,Basic,A1,5,condition ,상태 
V-map,Basic,A1,5,create ,창작하다 
V-map,Basic,A1,5,decide ,결심하다 
V-map,Basic,A1,5,director ,감독 
V-map,Basic,A1,5,disappear ,사라지다 
V-map,Basic,A1,5,donate ,기증하다 
V-map,Basic,A1,5,entire ,전체의 
V-map,Basic,A1,5,environmental ,환경의 
V-map,Basic,A1,5,eventually ,결국 
V-map,Basic,A1,5,fear,두려움
V-map,Basic,A1,5,film ,영화 
V-map,Basic,A1,5,function ,기능하다 
V-map,Basic,A1,5,I can't understand why  ,나는 왜 ~한지 이해가 안 돼
V-map,Basic,A1,5,imagine ,상상하다 
V-map,Basic,A1,5,include ,포함하다 
V-map,Basic,A1,5,interact with ,"~와 교류하다, 소통하다"
V-map,Basic,A1,5,international ,국제적인 
V-map,Basic,A1,5,lick ,핥다 
V-map,Basic,A1,5,opportunity,기회 
V-map,Basic,A1,5,order ,질서
V-map,Basic,A1,5,pass up ,"(기회를) 놓치다, 포기하다"
V-map,Basic,A1,5,photographer ,사진작가
V-map,Basic,A1,5,photography ,촬영 사진 
V-map,Basic,A1,5,properly ,제대로 
V-map,Basic,A1,5,publish ,출간하다 
V-map,Basic,A1,5,rarely ,거의 ~않게 
V-map,Basic,A1,5,raw ,날것의 
V-map,Basic,A1,5,reality ,현실 
V-map,Basic,A1,5,recently ,최근에 
V-map,Basic,A1,5,relationship ,관계 
V-map,Basic,A1,5,revolutionary ,획기적인 
V-map,Basic,A1,5,shelter ,"은신처, 오두막 "
V-map,Basic,A1,5,spicy ,매운
V-map,Basic,A1,5,survival ,생존 
V-map,Basic,A1,5,to this day ,지금까지도
V-map,Basic,A1,5,tribal ,부족의 
V-map,Basic,A1,5,trust ,믿음 
V-map,Basic,A1,5,What does that mean? ,그게 무슨 뜻이야?
V-map,Basic,A1,5,You'd better ,너는 ~하는 게 좋을 거야
V-map,Basic,A1,6,abandon ,버리다 
V-map,Basic,A1,6,adopt ,입양하다 
V-map,Basic,A1,6,alone ,혼자인
V-map,Basic,A1,6,attract ,끌어모으다 
V-map,Basic,A1,6,avoid ,피하다 
V-map,Basic,A1,6,award ,상을 주다 
V-map,Basic,A1,6,cockroach ,바퀴벌레 
V-map,Basic,A1,6,combine ,결합하다 
V-map,Basic,A1,6,common ,흔한
V-map,Basic,A1,6,curiosity ,호기심 
V-map,Basic,A1,6,device ,장치
V-map,Basic,A1,6,end up + 동명사 ,결국 ~하게 되다 
V-map,Basic,A1,6,evolve ,발달하다 
V-map,Basic,A1,6,expect ,기대하다 
V-map,Basic,A1,6,face ,직면하다 
V-map,Basic,A1,6,financial ,재정상의
V-map,Basic,A1,6,fortune ,"부, 거금 "
V-map,Basic,A1,6,in place of ,~을 대신하여 
V-map,Basic,A1,6,industry ,산업 
V-map,Basic,A1,6,It's my fault. ,내 잘못이야
V-map,Basic,A1,6,keep in mind ,명심하다 
V-map,Basic,A1,6,keep up with ,"(뉴스, 유행 등을) 따르다 "
V-map,Basic,A1,6,last ,계속되다
V-map,Basic,A1,6,lick ,핥다
V-map,Basic,A1,6,liveliness ,활기  
V-map,Basic,A1,6,maybe I will ,아마도 나는 ~할 거예요
V-map,Basic,A1,6,medical ,의학의 
V-map,Basic,A1,6,occasionally ,때때로 
V-map,Basic,A1,6,owner,주인
V-map,Basic,A1,6,picture ,"상상하다, 마음속에 그리다 "
V-map,Basic,A1,6,popularity ,인기 
V-map,Basic,A1,6,possession ,소유물 
V-map,Basic,A1,6,robotic ,로봇의
V-map,Basic,A1,6,rotten ,썩은 
V-map,Basic,A1,6,saddle ,안장 
V-map,Basic,A1,6,selfish ,이기적인
V-map,Basic,A1,6,source ,원천 
V-map,Basic,A1,6,species ,종 
V-map,Basic,A1,6,spoil ,상하다 
V-map,Basic,A1,6,subject ,연구 대상
V-map,Basic,A1,6,technology ,기술  
V-map,Basic,A1,6,tend + to부정사 ,~하는 경향이 있다
V-map,Basic,A1,6,think twice before ,~하기 전에 심사숙고하다
V-map,Basic,A1,6,to name a few,두서너 가지 예를 들자면 
V-map,Basic,A1,6,treatment ,치료 
V-map,Basic,A1,6,ultimately ,결국 
V-map,Basic,A1,6,vary ,(상황에 따라) 다르다 
V-map,Basic,A1,6,wander ,떠돌아다니다 
V-map,Basic,A1,6,wealth ,"부, 재산 "
V-map,Basic,A1,6,What if ~?  ,~하면 어쩌지?
V-map,Basic,A1,7,accident ,사고
V-map,Basic,A1,7,according to ,~에 따르면 
V-map,Basic,A1,7,advantage ,장점 
V-map,Basic,A1,7,advice ,충고 
V-map,Basic,A1,7,apply ,적용시키다 
V-map,Basic,A1,7,at least ,적어도 
V-map,Basic,A1,7,attitude ,태도 
V-map,Basic,A1,7,be likely + to부정사 ,"~할 것 같다, ~할 가능성이 있다"
V-map,Basic,A1,7,behavior ,행동
V-map,Basic,A1,7,catch a cold  ,감기 걸리다
V-map,Basic,A1,7,charming ,매력적인 
V-map,Basic,A1,7,chemical ,화학 물질 
V-map,Basic,A1,7,claim ,주장하다 
V-map,Basic,A1,7,conduct ,(조사)하다 
V-map,Basic,A1,7,confidence ,자신감
V-map,Basic,A1,7,confidently ,자신감 있게 
V-map,Basic,A1,7,conflict ,충돌 
V-map,Basic,A1,7,consider ,"고려하다, 여기다 "
V-map,Basic,A1,7,continue ,계속되다
V-map,Basic,A1,7,conversation ,대화 
V-map,Basic,A1,7,curl up ,몸을 웅크리다 
V-map,Basic,A1,7,despite ,~에도 불구하고 
V-map,Basic,A1,7,do A a favor ,A에게 호의를 베풀다 
V-map,Basic,A1,7,effectively ,효과적으로   
V-map,Basic,A1,7,encourage ,권장하다 
V-map,Basic,A1,7,especially ,특히 
V-map,Basic,A1,7,facial expression ,얼굴 표정
V-map,Basic,A1,7,gesture ,몸짓 
V-map,Basic,A1,7,How much is it? ,얼마예요?
V-map,Basic,A1,7,impact ,영향 
V-map,Basic,A1,7,in return ,"답례로, 대신에"
V-map,Basic,A1,7,in turn ,결국 
V-map,Basic,A1,7,incredible ,놀라운
V-map,Basic,A1,7,influence ,영향을 미치다 
V-map,Basic,A1,7,It is next to  ,그것은 ~ 옆에 있다
V-map,Basic,A1,7,long-sleeved ,소매가 긴
V-map,Basic,A1,7,on the other hand ,반면에 
V-map,Basic,A1,7,owe ,신세를 지다 
V-map,Basic,A1,7,persuade ,설득하다 
V-map,Basic,A1,7,persuasive ,설득력 있는 
V-map,Basic,A1,7,plan to do ,~하기로 계획하다
V-map,Basic,A1,7,positive ,긍정적인 
V-map,Basic,A1,7,posture ,자세 
V-map,Basic,A1,7,principle ,원칙 
V-map,Basic,A1,7,produce ,만들어 내다 
V-map,Basic,A1,7,react ,반응하다
V-map,Basic,A1,7,recognize ,"인정하다, 인식하다 "
V-map,Basic,A1,7,stress ,강조하다 
V-map,Basic,A1,7,such as ,"예를 들어, ~와 같은 "
V-map,Basic,A1,7,value ,가치 
V-map,Basic,A1,8,actually,"사실, 실제로"
V-map,Basic,A1,8,announce ,발표하다 
V-map,Basic,A1,8,appearance ,등장 
V-map,Basic,A1,8,ash ,재 
V-map,Basic,A1,8,at one's best ,"가장 좋은 상태에서, 한창때인"
V-map,Basic,A1,8,athlete ,운동선수 
V-map,Basic,A1,8,be busy + 동명사 ,~하느라 바쁘다 
V-map,Basic,A1,8,be filled with ,~으로 가득 차 있다
V-map,Basic,A1,8,belief in ,~에 대한 믿음 
V-map,Basic,A1,8,blindfolded ,눈가리개를 한
V-map,Basic,A1,8,circular ,원형의 
V-map,Basic,A1,8,confidence ,자신감 
V-map,Basic,A1,8,continuously ,계속해서 
V-map,Basic,A1,8,cross one's mind ,생각이 나다 
V-map,Basic,A1,8,customer ,고객 
V-map,Basic,A1,8,defeat ,패배 
V-map,Basic,A1,8,entertain ,즐겁게 해주다   
V-map,Basic,A1,8,excitedly ,신나게
V-map,Basic,A1,8,explanation ,설명 
V-map,Basic,A1,8,figure,형상
V-map,Basic,A1,8,function ,기능 
V-map,Basic,A1,8,generally ,일반적으로
V-map,Basic,A1,8,How much is ~?  ,~은 얼마예요? 
V-map,Basic,A1,8,incredible ,믿을 수 없는 
V-map,Basic,A1,8,injury ,부상
V-map,Basic,A1,8,left-handed ,왼손잡이의 
V-map,Basic,A1,8,load ,싣다 
V-map,Basic,A1,8,major ,주요한 
V-map,Basic,A1,8,matter ,중요하다
V-map,Basic,A1,8,moved ,감동받은 
V-map,Basic,A1,8,not this time ,이번에는 안 돼
V-map,Basic,A1,8,performance ,성과 
V-map,Basic,A1,8,prevent A from + 동명사 ,A가 ~하는 것을 막다
V-map,Basic,A1,8,professional ,"직업적으로 하는, 프로의  "
V-map,Basic,A1,8,prove ,입증하다 
V-map,Basic,A1,8,receive ,받다 
V-map,Basic,A1,8,release ,출시하다
V-map,Basic,A1,8,remains,잔여물
V-map,Basic,A1,8,remove ,제거하다 
V-map,Basic,A1,8,right-handed ,오른손잡이의
V-map,Basic,A1,8,rotate ,회전시키다 
V-map,Basic,A1,8,seem + to부정사 ,~하는 것 같다 
V-map,Basic,A1,8,specially ,특별하게 
V-map,Basic,A1,8,spill out ,쏟아져 나오다
V-map,Basic,A1,8,strike ,"해를 가하다, 덮치다"
V-map,Basic,A1,8,succeed ,성공하다 
V-map,Basic,A1,8,suffer ,"겪다, 당하다 "
V-map,Basic,A1,8,take turns ,교대로 하다 
V-map,Basic,A1,8,thick ,두꺼운 
V-map,Basic,A1,8,various ,다양한 
V-map,Basic,A1,9,achievement ,업적 
V-map,Basic,A1,9,ancient,고대의
V-map,Basic,A1,9,arrival,도착
V-map,Basic,A1,9,attraction,명소
V-map,Basic,A1,9,be dying + to부정사,매우 ~하고 싶어 하다
V-map,Basic,A1,9,be located in,~에 위치하다
V-map,Basic,A1,9,be made out of  ,~으로 만들어지다
V-map,Basic,A1,9,be made up of,~으로 구성되다
V-map,Basic,A1,9,beyond,너머에
V-map,Basic,A1,9,blow off,날려 버리다
V-map,Basic,A1,9,both A and B,A와 B 둘 다
V-map,Basic,A1,9,cannonball,포탄
V-map,Basic,A1,9,careless,부주의한
V-map,Basic,A1,9,damage,피해를 입히다
V-map,Basic,A1,9,desert,사막
V-map,Basic,A1,9,effect,영향
V-map,Basic,A1,9,entirely,"완전히, 전부"
V-map,Basic,A1,9,examination,조사
V-map,Basic,A1,9,factor,요인
V-map,Basic,A1,9,fortunate,운 좋은
V-map,Basic,A1,9,government,정부
V-map,Basic,A1,9,illegal,불법의
V-map,Basic,A1,9,I'm able to ,나는 ~할 수 있다
V-map,Basic,A1,9,layer,층
V-map,Basic,A1,9,lead to,~으로 연결되다
V-map,Basic,A1,9,long before,훨씬 이전에
V-map,Basic,A1,9,peak,꼭대기
V-map,Basic,A1,9,portrait  ,"초상화, 흉상"
V-map,Basic,A1,9,prevent,막다
V-map,Basic,A1,9,reflect,반사하다
V-map,Basic,A1,9,result in,(결과적으로) ~을 초래하다
V-map,Basic,A1,9,scenery,경치
V-map,Basic,A1,9,sculpture,조각상
V-map,Basic,A1,9,sightseeing,관광
V-map,Basic,A1,9,slip,미끄러지다
V-map,Basic,A1,9,soldier,군인
V-map,Basic,A1,9,southwest,남서의
V-map,Basic,A1,9,square,"제곱의, 평방의"
V-map,Basic,A1,9,stairway,계단
V-map,Basic,A1,9,statue,조각상
V-map,Basic,A1,9,steep,가파른
V-map,Basic,A1,9,suggest,암시하다
V-map,Basic,A1,9,surround,둘러싸다
V-map,Basic,A1,9,tale,이야기
V-map,Basic,A1,9,target,표적
V-map,Basic,A1,9,the public,"일반인, 대중"
V-map,Basic,A1,9,trail,"산길, 오솔길"
V-map,Basic,A1,9,vertical,수직의
V-map,Basic,A1,9,wax,"밀랍, 왁스"
V-map,Basic,A1,9,wipe,닦다
V-map,Basic,A1,10,advertise,광고하다
V-map,Basic,A1,10,advertising,광고
V-map,Basic,A1,10,analyze,분석하다
V-map,Basic,A1,10,arrange,"계획하다, 준비하다"
V-map,Basic,A1,10,as time goes on,시간이 지남에 따라
V-map,Basic,A1,10,atmosphere,대기
V-map,Basic,A1,10,attractiveness,매력
V-map,Basic,A1,10,be criticized for,~인 것으로 비난받다
V-map,Basic,A1,10,be sorry for,~에 대해 유감스럽게 생각하다
V-map,Basic,A1,10,carefully,신중하게
V-map,Basic,A1,10,clerk,점원
V-map,Basic,A1,10,consider,"여기다, 생각하다"
V-map,Basic,A1,10,convenient,편리한
V-map,Basic,A1,10,Could you please ~?,~해주시겠어요?
V-map,Basic,A1,10,customer,고객
V-map,Basic,A1,10,depending on,~에 따라서
V-map,Basic,A1,10,distract,산만하게 하다
V-map,Basic,A1,10,driverless,운전사가 필요 없는
V-map,Basic,A1,10,evaluate,평가하다
V-map,Basic,A1,10,extreme,극한의
V-map,Basic,A1,10,fairly,"상당히, 꽤"
V-map,Basic,A1,10,fall asleep,잠들다
V-map,Basic,A1,10,gain,얻다
V-map,Basic,A1,10,identification,"식별, 확인"
V-map,Basic,A1,10,impression ,인상
V-map,Basic,A1,10,It looks too small.,너무 작아 보이네요
V-map,Basic,A1,10,panic,겁에 질리다
V-map,Basic,A1,10,promotion,홍보
V-map,Basic,A1,10,qualify for,~의 자격을 얻다
V-map,Basic,A1,10,reach the speed of,~의 속도에 이르다
V-map,Basic,A1,10,recognize A as B,A를 B로 인식하다
V-map,Basic,A1,10,replace A with B,A를 B로 대체하다
V-map,Basic,A1,10,set up,준비하다
V-map,Basic,A1,10,severely,심하게
V-map,Basic,A1,10,solution,해결책
V-map,Basic,A1,10,Sounds good.,좋은 생각이야
V-map,Basic,A1,10,strategy,전략
V-map,Basic,A1,10,successful,성공적인
V-map,Basic,A1,10,take a photo of,~의 사진을 찍다
V-map,Basic,A1,10,the public,"대중, 일반인"
V-map,Basic,A1,10,unfair,불공평한
V-map,Basic,A1,10,unique,독특한
V-map,Basic,A1,10,unusual,흔하지 않은
V-map,Basic,A1,10,vehicle,탈것
V-map,Basic,A1,10,view,"시청 횟수, 견해"
V-map,Basic,A1,10,weight,무게
V-map,Basic,A1,10,What can I do for you?,무엇을 도와드릴까요?
V-map,Basic,A1,10,wild,엄청난
V-map,Basic,A1,10,worldwide,전 세계적으로
V-map,Basic,A1,10,worth + 동명사,~할 가치가 있는
V-map,Basic,B1,1,abuse,학대
V-map,Basic,B1,1,admired,존경받는
V-map,Basic,B1,1,arrest,체포하다
V-map,Basic,B1,1,be charged with,~로 기소되다
V-map,Basic,B1,1,boycott,구매를 거부하다
V-map,Basic,B1,1,brutal,잔혹한
V-map,Basic,B1,1,cruel,잔혹한
V-map,Basic,B1,1,demand,수요
V-map,Basic,B1,1,digest,소화하다
V-map,Basic,B1,1,display,진열
V-map,Basic,B1,1,draw,뽑아내다
V-map,Basic,B1,1,end up + 동명사,결국 ~하게 되다
V-map,Basic,B1,1,expect,기대하다
V-map,Basic,B1,1,false label,거짓 상표
V-map,Basic,B1,1,flavor,"풍미, 맛"
V-map,Basic,B1,1,gunfight,총싸움
V-map,Basic,B1,1,hesitate,망설이다
V-map,Basic,B1,1,hit,큰 인기
V-map,Basic,B1,1,humble,겸손한
V-map,Basic,B1,1,innocence,"순수함, 결백함"
V-map,Basic,B1,1,local,"지역의, 현지의"
V-map,Basic,B1,1,match,맞수
V-map,Basic,B1,1,method,방법
V-map,Basic,B1,1,neglected,소외된
V-map,Basic,B1,1,obvious,분명한
V-map,Basic,B1,1,order,"명령하다, 명령"
V-map,Basic,B1,1,participate in,~에 참여하다
V-map,Basic,B1,1,plain,"무늬가 없는, 소박한"
V-map,Basic,B1,1,point A at B,A를 B에 겨냥하다
V-map,Basic,B1,1,pope,교황
V-map,Basic,B1,1,pretty,꽤
V-map,Basic,B1,1,prevent,막다
V-map,Basic,B1,1,priest,"신부, 성직자"
V-map,Basic,B1,1,religious,종교의
V-map,Basic,B1,1,request,요청하다
V-map,Basic,B1,1,respected,존경받는
V-map,Basic,B1,1,roast,볶다
V-map,Basic,B1,1,rob,"털다, 훔치다"
V-map,Basic,B1,1,saying,"속담, 격언"
V-map,Basic,B1,1,scene,현장
V-map,Basic,B1,1,set a good example for,~에 모범을 보이다
V-map,Basic,B1,1,simplicity,소박함
V-map,Basic,B1,1,social class,사회계층
V-map,Basic,B1,1,the Catholic Church,천주교
V-map,Basic,B1,1,there is no doubt that,"~라는 것에 의심할 여지가 없다, ~은 분명하다"
V-map,Basic,B1,1,thrifty,"절약하는, 검소한"
V-map,Basic,B1,1,trap,가두다
V-map,Basic,B1,1,unique,독특한
V-map,Basic,B1,1,unknowingly,알지 못한 채
V-map,Basic,B1,1,weapon,무기
V-map,Basic,B1,2,accept,받아들이다
V-map,Basic,B1,2,adopted,입양된
V-map,Basic,B1,2,alike,비슷한
V-map,Basic,B1,2,appearance,외모
V-map,Basic,B1,2,approach,접근법
V-map,Basic,B1,2,balance,균형
V-map,Basic,B1,2,be made up of,~로 구성되다
V-map,Basic,B1,2,behavior,행동
V-map,Basic,B1,2,care for,"~을 보살피다, 돌보다"
V-map,Basic,B1,2,challenging,도전적인
V-map,Basic,B1,2,childless,자식이 없는
V-map,Basic,B1,2,commonly,흔히
V-map,Basic,B1,2,compliment,칭찬
V-map,Basic,B1,2,confidence,자신감
